,AT2G28305
AT2G28305,1.0
AT1G70700,0.999952104985871
AT2G30540,0.9999042099717419
AT1G73550,0.999856314957613
AT2G41905,0.9998084199434839
AT5G53048,0.9997605249293549
AT3G52310,0.9997126299152258
AT3G16120,0.9996647349010968
AT5G24420,0.9996168398869678
AT3G47295,0.9995689448728388
AT1G72450,0.9995210498587097
AT5G60910,0.9994731548445807
AT1G56510,0.9994252598304516
AT3G48790,0.9993773648163227
AT2G30900,0.9993294698021936
AT3G53960,0.9992815747880646
AT3G25760,0.9992336797739355
AT5G64850,0.9991857847598065
AT2G39855,0.9991378897456775
AT5G54170,0.9990899947315485
AT2G30040,0.9990420997174194
AT4G19850,0.9989942047032904
AT3G28220,0.9989463096891613
AT3G21660,0.9988984146750324
AT2G04795,0.9988505196609033
AT1G74810,0.9988026246467743
AT1G68320,0.9987547296326452
AT3G17510,0.9987068346185162
AT5G58120,0.9986589396043872
AT5G56840,0.9986110445902582
AT4G35783,0.9985631495761291
AT1G65490,0.9985152545620001
AT5G44050,0.998467359547871
AT4G27657,0.9984194645337421
ATCG00510,0.998371569519613
AT1G67856,0.998323674505484
AT2G21890,0.9982757794913549
AT1G64360,0.9982278844772259
AT1G33720,0.9981799894630969
AT3G22060,0.9981320944489679
AT1G78230,0.9980841994348388
AT5G53050,0.9980123569136453
AT1G65486,0.9980123569136453
AT5G17300,0.9979405143924518
AT3G16220,0.9978686718712582
AT1G73540,0.9978686718712582
AT3G03480,0.9977968293500646
AT3G19030,0.9977489343359356
AT3G51895,0.9977010393218066
AT2G14580,0.997629196800613
AT3G06070,0.997629196800613
AT5G67180,0.9975573542794195
AT5G63160,0.9975094592652904
AT1G55010,0.9974615642511615
AT5G19855,0.9974136692370325
AT2G33380,0.9973657742229034
AT5G61120,0.9973178792087743
AT1G74430,0.9972699841946453
AT2G29450,0.9972220891805164
AT1G51700,0.9971741941663873
ATCG00690,0.9971262991522583
AT5G44580,0.9970784041381292
AT1G67865,0.9970305091240002
AT5G46490,0.9969826141098712
AT2G36630,0.9969347190957422
AT5G37300,0.9968868240816131
AT1G66230,0.9968389290674841
AT3G27970,0.9967431390392261
AT1G66760,0.9967431390392261
AT1G33770,0.9967431390392261
AT3G28770,0.996647349010968
ATCG00700,0.9965994539968389
AT2G41120,0.9965515589827099
AT5G52570,0.9965036639685809
AT4G18210,0.9964557689544519
AT2G47050,0.9964078739403228
AT1G24148,0.9963599789261938
AT1G02190,0.9963120839120647
AT5G25140,0.9962641888979358
AT1G73480,0.9962162938838067
AT3G44630,0.9961683988696777
AT1G18710,0.9960965563484842
AT2G32160,0.9960965563484842
AT1G12240,0.9960247138272906
AT1G17420,0.9959768188131616
AT1G52000,0.9959289237990325
AT5G57520,0.9958810287849035
AT3G18485,0.99580918626371
AT3G22275,0.99580918626371
AT2G36590,0.9957373437425164
AT5G58650,0.9956894487283874
AT5G59330,0.9956415537142583
AT5G28237,0.9955936587001293
AT2G41870,0.9955457636860003
AT4G36110,0.9954978686718713
AT1G30135,0.9954499736577422
AT1G12610,0.9954020786436132
AT3G15760,0.9953541836294841
AT4G24972,0.9952823411082906
AT4G08870,0.9952823411082906
AT1G26560,0.9952104985870971
AT5G06870,0.995162603572968
AT5G46500,0.995114708558839
AT2G46510,0.99506681354471
AT1G02820,0.995018918530581
AT3G21150,0.994971023516452
AT1G19640,0.9949231285023229
AT2G46880,0.9948752334881938
AT1G56520,0.9948273384740649
AT2G21730,0.9947794434599359
AT5G18670,0.9947315484458068
ATCG01180,0.9946836534316778
AT5G52900,0.9946357584175487
AT3G05727,0.9945878634034198
AT1G24147,0.9945399683892907
AT3G01550,0.9944681258680972
AT1G02630,0.9944681258680972
AT2G43520,0.9943962833469036
AT4G09890,0.9943483883327746
AT1G17710,0.9943004933186456
AT4G31870,0.9942525983045165
AT1G73700,0.9942047032903875
AT4G13800,0.9941568082762584
AT1G35140,0.9941089132621295
AT4G16690,0.9940370707409358
AT1G60260,0.9940370707409358
AT1G67470,0.9939652282197423
AT4G37980,0.9939173332056133
AT5G24215,0.9938694381914842
AT5G38120,0.9938215431773553
AT4G25700,0.9937736481632262
AT4G26150,0.9937018056420327
AT3G27540,0.9937018056420327
AT1G52342,0.9936060156137746
AT5G03395,0.9936060156137746
AT1G65390,0.9935341730925811
AT1G48820,0.993486278078452
AT2G25540,0.993438383064323
AT3G45638,0.9933904880501939
AT1G19510,0.993342593036065
AT4G01060,0.9932707505148713
AT1G52830,0.9932707505148713
AT5G24940,0.9931989079936778
AT1G62510,0.9931510129795488
AT4G17470,0.9931031179654198
AT4G38420,0.9930552229512908
AT5G37770,0.9930073279371617
AT2G47880,0.9929594329230327
AT3G14770,0.9929115379089036
ATCG00920,0.9928636428947747
AT4G07815,0.9928157478806456
AT5G57560,0.9927678528665166
AT2G46830,0.9927199578523875
AT4G02200,0.9926720628382585
AT5G62470,0.9926241678241295
AT3G21670,0.9925283777958714
AT1G70020,0.9925283777958714
AT5G22390,0.9925283777958714
AT4G27360,0.9923846927534844
AT2G32200,0.9923846927534844
AT5G59400,0.9923846927534844
AT3G57640,0.9922649552181618
AT2G42540,0.9922649552181618
ATCG00520,0.9921931126969682
AT2G34210,0.9921452176828393
AT4G22513,0.9920973226687102
AT2G44290,0.9919775851333876
AT1G74930,0.9919775851333876
AT5G09990,0.9919775851333876
AT3G50560,0.9919775851333876
AT1G07180,0.9918578475980651
AT4G16890,0.991809952583936
AT5G50100,0.991762057569807
AT5G06980,0.991666267541549
AT3G17800,0.991666267541549
AT3G12320,0.991666267541549
AT1G65480,0.9915704775132909
AT1G13245,0.9915225824991618
AT1G66100,0.9914746874850328
AT1G72930,0.9914267924709038
AT1G01140,0.9913788974567748
AT2G46735,0.9913070549355812
AT3G28270,0.9913070549355812
AT5G16650,0.9912352124143876
AT4G37610,0.9911873174002587
AT3G09600,0.9911394223861296
AT3G50060,0.9910915273720006
AT1G03055,0.991019684850807
AT1G18750,0.991019684850807
AT5G15800,0.9909478423296135
AT3G47250,0.9908759998084199
AT3G55710,0.9908759998084199
AT5G17600,0.9908041572872264
AT2G34600,0.9907323147660329
AT1G33760,0.9907323147660329
AT1G68840,0.9906604722448393
AT5G65890,0.9906125772307103
AT3G21870,0.9905646822165812
AT5G18404,0.9905167872024522
AT3G62960,0.9904449446812587
AT1G20120,0.9904449446812587
AT4G16410,0.9903491546530007
AT5G67190,0.9903491546530007
AT5G50915,0.990277312131807
AT3G04000,0.9902294171176781
AT5G08030,0.990181522103549
AT4G04840,0.99013362708942
AT3G06750,0.9900378370611619
AT3G23840,0.9900378370611619
AT1G05550,0.9900378370611619
AT1G61470,0.9899420470329039
AT3G28007,0.9898941520187748
AT1G75180,0.9898462570046458
AT5G25130,0.9897744144834523
AT5G08150,0.9897744144834523
AT4G05110,0.9897025719622587
AT5G36920,0.9896546769481297
ATCG01010,0.9896067819340006
AT5G38240,0.9895588869198716
AT5G52050,0.9895109919057427
AT4G12005,0.9894630968916136
AT3G09870,0.9894152018774846
AT1G65870,0.9893673068633555
AT2G38480,0.9893194118492264
AT5G55570,0.9892715168350975
AT3G27920,0.9892236218209685
AT3G59510,0.9891757268068394
AT1G53170,0.9891038842856459
AT5G52250,0.9891038842856459
AT5G02840,0.9890320417644524
AT1G49780,0.9889841467503233
AT2G30100,0.9889362517361943
AT1G72520,0.9888883567220652
AT5G62570,0.9888404617079362
AT1G50020,0.9887925666938072
AT5G24210,0.9887207241726136
AT4G04570,0.9887207241726136
AT1G78070,0.9886488816514201
AT1G67900,0.9885770391302265
AT2G04039,0.9885770391302265
AT5G20220,0.988505196609033
AT2G17660,0.988457301594904
AT2G32550,0.9883854590737104
AT2G40000,0.9883854590737104
AT5G51030,0.9883136165525169
AT2G29300,0.9882657215383879
ATCG00610,0.9882178265242588
AT1G01520,0.9881699315101298
AT1G65890,0.9881220364960007
AT2G35950,0.9880741414818718
